DocID,Category,Chunk,Predicted
010390,Philosophy,"SCIENCE***E-text prepared by John Hagerson, Kevin Handy, and Project GutenbergDistributed ProofreadersTHE EDINBURGH LECTURES ON MENTAL SCIENCEBY THOMAS TROWARD LATE DIVISIONAL JUDGE, PUNJABTHE WRITER AFFECTIONATELY DEDICATES THIS LITTLE VOLUME TO HIS WIFEFOREWORD. This book contains the substance of a course of lectures recently given bythe writer in the Queen Street Hall, Edinburgh.",Philosophy
030440,Philosophy,"Produced by Mark C. Orton, S. D., and the Online DistributedProofreading Team at https://www.pgdp.net (This file wasproduced from images generously made available by TheInternet Archive)BYWAYS OF GHOST-LAND BYWAYS OF GHOST-LAND BY ELLIOTT O'DONNELL AUTHOR OF ""SOME HAUNTED HOUSES OF ENGLAND AND WALES,"" ""HAUNTED HOUSES OF LONDON,"" ""GHOSTLY PHENOMENA,"" ""DREAMS AND THEIR MEANINGS,"" ""SCOTTISH GHOST TALES,"" ""TRUE GHOST TALES,"" ETC., ETC. WILLIAM RIDER AND SON, LIMITED 164 Aldersgate St., London, E.",Philosophy
005031,Politics,Produced by James Linden. HTML version by Al Haines.,Politics
044500,Social Sciences,"Produced by The Online Distributed Proofreading Team athttp://www.pgdp.net (This file was produced from imagesgenerously made available by The Internet Archive.)_THE CONTEMPORARY SCIENCE SERIES._EDITED BY HAVELOCK ELLIS. THE CRIMINAL._By the same Author._THE NEW SPIRIT. LONDON: G. BELL & SONS.[Illustration: _Frontispiece._] THE CRIMINAL. BY HAVELOCK ELLIS. _ILLUSTRATED._ SCRIBNER & WELFORD, 743 & 745 BROADWAY, NEW YORK. 1890. CONTENTS. CHAPTER I. PAGE INTRODUCTION 1 CHAPTER II.",Social Sciences
032421,Philosophy,"Produced by Audrey Longhurst, Richard J. Shiffer and theOnline Distributed Proofreading Team at https://www.pgdp.netA Man of the WorldBYANNIE PAYSON CALL_Author of_""Power Through Repose,"" ""As a Matter of Course,"" ""The Freedom of Life""BOSTONLITTLE, BROWN, AND COMPANY1906COPYRIGHT, 1905,BY LITTLE, BROWN, AND COMPANY._All rights reserved_Published October, 1905THE UNIVERSITY PRESS, CAMBRIDGE, U. S. A.",Philosophy
000061,Social Sciences,"The Communist Manifestoby Karl Marx and Friedrich Engels[From the English edition of 1888, edited by Friedrich Engels]Contents I. BOURGEOIS AND PROLETARIANS II. PROLETARIANS AND COMMUNISTS III. SOCIALIST AND COMMUNIST LITERATURE IV. POSITION OF THE COMMUNISTS IN RELATION TO THE VARIOUS EXISTING OPPOSITION PARTIESA spectre is haunting Europe—the spectre of Communism.",Social Sciences
029622,Philosophy,Produced by Elaine Laizure. This file was produced fromimages generously made available by The InternetArchive/American Libraries.,Philosophy
012507,Social Sciences,"Produced by Carlo Traverso, Robert Morse and PG DistributedProofreaders. This file was produced from images generously madeavailable by the Bibliotheque nationale de France (BnF/Gallica) athttp://gallica.bnf.fr. THEHISTORYOF THERISE, PROGRESS, AND ACCOMPLISHMENTOFTHE ABOLITIONOFTHE AFRICAN SLAVE-TRADEBY THEBRITISH PARLIAMENT. BY THOMAS CLARKSON, M. A.1808.",Social Sciences
039212,Philosophy,"Produced by Maria Grist, Suzanne Shell and the OnlineDistributed Proofreading Team at http://www.pgdp.net (Thisfile was produced from images generously made availableby The Internet Archive/American Libraries.) THERE IS NO DEATH Works by Florence Marryat PUBLISHED IN THE INTERNATIONAL SERIES. NO. CTS. 85. Blindfold, 50 135. Brave Heart and True, 50 42. Mount Eden, 30 13. On Circumstantial Evidence, 30 148. Risen Dead, The, 50 77. Scarlet Sin, A, 50 159.",Philosophy
042466,Philosophy,"Produced by Albert Laszlo, JoAnn Greenwood, and the OnlineDistributed Proofreading Team at http://www.pgdp.net (Thisfile was produced from images generously made availableby The Internet Archive) FACTS AND FANCIES IN MODERN SCIENCE: STUDIES OF THE RELATIONS OF SCIENCE TO PREVALENT SPECULATIONS AND RELIGIOUS BELIEF. _BEING THE LECTURES ON THE SAMUEL A. CROZER FOUNDATION IN CONNECTION WITH THE CROZER THEOLOGICAL SEMINARY, FOR 1881._ BY J. W. DAWSON, LL. D., F. R. S. ETC.",Philosophy
007925,Philosophy,"Produced by Charles Franks, Chew-Hung, Lee, and the OnlineDistributed Proofreading Team. EXPOSITIONS OF HOLY SCRIPTUREPSALMSbyALEXANDER MACLAREN, D. D., Litt. D.",Philosophy
015609,Philosophy,"Produced by Cornell University, Joshua Hutchinson, Josephine Paolucciand the Online Distributed Proofreading Team. AMERICAN MISSIONARYAPRIL, 1890. VOL. XLIV. NO. 4. CONTENTSEDITORIALREMOVAL--REV. FRANK P. WOODBURY, D. D. INDIAN CIVILIZATION--EMIGRATION OF COLORED PEOPLEA COMPARISONTHE STEREOPTICON IN NEW ENGLANDMRS. JANE TWICHELL WARE--PARAGRAPHSAN ENTERPRISING WOMANTHE SOUTH.",Philosophy
004641,Philosophy,,Philosophy
035470,Philosophy,"Produced by the Mormon Texts Project,http://bencrowder.net/books/mtp. Volunteers: BenjaminBytheway, Hilton Campbell, Ben Crowder, Meridith Crowder,Cameron Dixon, Tod Robbins, David Van Leeuwen. Frontispiece. Fly--fly--these thoughts on the lightning car, With the speed of light to the realms afar! Mount--mount the car with the horse of fire; Outstrip the wind, he will never tire, Let the wild bird scream as he lags behind, And the hurricane a champion find.",Philosophy
052914,Philosophy,"Produced by Marc D'Hooghe at Free Literature (back onlinesoon in an extended version, alo linking to free sourcesfor education worldwide ... MOOC's, educationalmaterials,...) (Images generously made available by theInternet Archive.)THE WILL TO POWERAN ATTEMPTED TRANSVALUATION OF ALL VALUESBYFRIEDRICH NIETZSCHETRANSLATED BYANTHONY M. LUDOVICIVOL. IBOOKS I AND IIThe Complete Works of Friedrich NietzscheThe First Complete and Authorised English TranslationEdited by Dr Oscar LevyVolume FourteenT.",Philosophy
031340,Philosophy,"Produced by Suzanne Shell, Carla Foust and the OnlineDistributed Proofreading Team at http://www.pgdp.net (Thisfile was produced from images generously made availableby The Internet Archive/American Libraries.)Transcriber's noteMinor punctuation errors have been changed without notice. Printererrors have been changed and are listed at the end. The Colored Girl Beautiful THE COLORED GIRL BEAUTIFUL By E.",Philosophy
028103,Philosophy,"Produced by Keith G. RichardsonEVANGELICAL UNION DOCTRINAL SERIES.(_FIFTH ISSUE_.)THE DOCTRINESOFPREDESTINATION, REPROBATION, AND ELECTION._EVANGELICAL UNION DOCTRINAL SERIES.__The following Volumes of the Series are now ready,Price is. 6d. each:_--REGENERATION: Its Conditions and Methods. By the Rev. ROBERTCRAIG, M. A. THE FATHERHOOD OF GOD. By the Rev. ROBERT MITCHELL. THE HOLY SPIRIT'S WORK: Its Nature and Extent. By the Rev. GEORGECRON. THE NATURE OF THE ATONEMENT. By the Rev.",Philosophy
039539,Geography,"This ebook was transcribed by Les Bowler [Picture: Snowdon] THE CAMBRIAN SKETCH-BOOK. _TALES_, _SCENES_, _AND LEGENDS OF WILD WALES_. * * * * * BY R. RICE DAVIES. _Author of_ “_The Handy Book on Tax Laws_,” “_Havelock_,” “_Essay on Recreation Grounds for Swansea_,” _etc._ * * * * * London: SIMPKIN, MARSHALL & CO. Swansea: THE CAMBRIAN WELSH AND ENGLISH BOOK PUBLISHING COMPANYTo the Right HonourableTHE LADY LLANOVER.",Geography
012854,Philosophy,"Produced by Juliet Sutherland, Bob McKillip and PG DistributedProofreadersThe MASTER'S INDWELLINGANDREW MURRAY1953The following papers were in substance delivered by the author in a seriesof addresses at the Northfield Conference of 1895, but later rewritten andrevised by him for this permanent and authorized publication. CONTENTSI. CARNAL CHRISTIANSII. THE SELF LIFEIII. WAITING ON GODIV. ENTRANCE INTO RESTV. THE KINGDOM FIRSTVI. CHRIST OUR LIFEVII. CHRIST'S HUMILITY OUR SALVATIONVIII.",Philosophy
041362,Philosophy,"Produced by Charlene Taylor, Julia Neufeld and the OnlineDistributed Proofreading Team at http://www.pgdp.net (Thisfile was produced from images generously made availableby The Internet Archive/Canadian Libraries)THE GOSPEL OF ST. JOHN.[Illustration: Publisher's Mark] THE GOSPEL OF ST. JOHN. A Series of Discourses. By FREDERICK DENISON MAURICE, M.",Philosophy
048002,Philosophy,"Produced by Al Haines.[Illustration: Aristotle] *ARISTOTLE* BY A. E. TAYLOR, M. A., D. LITT., F. B. A. LONDON: T. C. & E. C. JACK 67 LONG ACRE, W. C., AND EDINBURGH NEW YORK: DODGE PUBLISHING CO. *CONTENTS*CHAP. I. LIFE AND WORKSII. THE CLASSIFICATION OF THE SCIENCES: SCIENTIFIC METHODIII. FIRST PHILOSOPHYIV. PHYSICSV.",Philosophy
031108,Social Sciences,"Produced by Fritz Ohrenschall, Martin Pettit and the OnlineDistributed Proofreading Team at http://www.pgdp.netVIOLENCE AND THE LABOR MOVEMENT[Illustration: Logo]THE MACMILLAN COMPANYNEW YORK . BOSTON . CHICAGO . DALLASATLANTA . SAN FRANCISCOMACMILLAN & CO., LIMITEDLONDON . BOMBAY . CALCUTTAMELBOURNETHE MACMILLAN CO. OF CANADA, LTD. TORONTOVIOLENCE AND THE LABOR MOVEMENTBYROBERT HUNTERAUTHOR OF ""POVERTY,"" ""SOCIALISTS AT WORK,"" ETC.",Social Sciences
016856,Philosophy,"Transcribed from the 1905 James Nisbet and Co. edition by David Price,email ccx074@coventry.ac.ukSERMONS AT RUGBYBy the Rt. Rev. JOHN PERCIVAL, D. D., LORD BISHOP OF HEREFORDSOMETIME HEADMASTER OF RUGBYJAMES NISBET AND CO.",Philosophy
003415,Geography,"This etext was produced by Jeroen Hellingman <jehe@kabelfoon.nl>The South PoleAn Account of the NorwegianAntarctic Expedition in the ""Fram,""1910 -- 1912By Roald AmundsenTranslated from the Norwegian byA. G. ChaterContents of Vol. IIChapter PageX. The Start for the Pole 1XI. Through the Mountains 41XII. At the Pole 107XIII. The Return to Framheim 135XIV. Northward 176XV. The Eastern Sledge Journey 204 By Lieutenant K. PrestrudXVI.",Geography
012076,Philosophy,"Copyright (C) 2004 www. FaithofGod.netCopyright (C) www. FaithofGod.netMay be quoted and used freely in all non-lucre, non-commercial Scripturedistribution endeavors provided the content is not altered. The Story of the prophet Jonas first translated from Hebrew to Englishby William Tyndale, published in 1531. This edition has the same wording,but modernized spelling. The Story of the prophet Jonas. The first Chapter.",Philosophy
009071,Philosophy,"THE NON-CHRISTIAN CROSSAn Enquiry Into The Origin And History OfThe Symbol Eventually Adopted AsThat Of Our ReligionBy John Denham ParsonsLondon1896""O Crux, Splendidior Cunctis Astris, MundoCelebris, Hominibus Multum Amabilis, SanctiorUniversis."" [_Breviarium Romanum,_ _Festival Of The Invention Of The Holy Cross._PREFACE.",Philosophy
037650,Social Sciences,"Produced by Chris Curnow, Joseph Cooper and the OnlineDistributed Proofreading Team at https://www.pgdp.netTHE AUGUSTAN REPRINT SOCIETYBERNARD MANDEVILLE,_AN ENQUIRY_INTO THE CAUSESOF THEFREQUENT EXECUTIONSAT_TYBURN_.(1725)_INTRODUCTION_BY MALVIN R. ZIRKER, JR.[Illustration]PUBLICATION NUMBER 105WILLIAM ANDREWS CLARK MEMORIAL LIBRARYUNIVERSITY OF CALIFORNIA, LOS ANGELES1964GENERAL EDITORSRichard C. Boys, _University of Michigan_Earl R.",Social Sciences
037780,Philosophy,"BRAKELOND: A PICTURE OF MONASTIC LIFE IN THE DAYS OF ABBOT SAMSON***E-text prepared by Juliet Sutherland, Chris Pinfield, and the OnlineDistributed Proofreading Team (http://www.pgdp.net)Note: Project Gutenberg also has an HTML version of this file which includes the original illustrations.",Philosophy
048872,Philosophy,Produced by David Edwards and the Online DistributedProofreading Team at http://www.pgdp.net (This file wasproduced from images generously made available by TheInternet Archive)Transcriber's Note: Italic text is denoted by _underscores_. Small capital text has been replaced with all capitals. Minor typographical and punctuation errors have been correctedwithout note. Irregularities and inconsistencies in the text havebeen retained as printed.,Philosophy
015687,Social Sciences,"Produced by Michael Ciesielski, Melissa Er-Raqabi and the OnlineDistributed Proofreading Team at https://www.pgdp.net. LITTLE ESSAYSOFLOVE AND VIRTUEBYHAVELOCK ELLISBY THE SAME AUTHORSTUDIES IN THE PSYCHOLOGY OF SEXSix VolumesPhiladelphia: _F. A.",Social Sciences
034125,Philosophy,"Produced by Sankar Viswanathan, Brownfox, and the OnlineDistributed Proofreading Team at https://www.pgdp.net (Thisfile was produced from images generously made availableby The Internet Archive) TRUBNER'S ORIENTAL SERIES. THE SARVA-DARSANA-SAMGRAHA OR _REVIEW OF THE DIFFERENT SYSTEMS OF HINDU PHILOSOPHY._ BY MADHAVA ACHARYA. TRANSLATED BY E. B. COWELL, M. A. PROFESSOR OF SANSKRIT AND FELLOW OF CORPUS CHRISTI COLLEGE IN THE UNIVERSITY OF CAMBRIDGE, AND HONORARY LL. D.",Philosophy
